,Sample_1,Sample_2
ACTB,48501.178848097006,64802.182810368344
EEF1A1,35028.62916807006,60027.28512960436
GAPDH,62984.16975412597,30013.64256480218
RPL13A,51532.50252610307,31718.963165075034
FUS,40080.835298080165,30695.77080491132
PKM,30650.0505220613,39222.37380627558
SFPQ,38396.766588076796,30013.64256480218
PPIA,30986.864264061976,37175.98908594815
NPM1,34355.00168406871,33765.34788540245
CCT2,31323.678006062648,35811.73260572988
ENO1,34355.00168406871,32401.091405184172
EIF4A1,30650.0505220613,33765.34788540245
CALM1,34691.815426069385,28990.45020463847
RPS18,28965.981812057933,34447.476125511595
YWHAZ,28965.981812057933,34447.476125511595
