,Sample_1,Sample_2
GAPDH,121800.84257083538,65328.35978719335
ACTB,49074.76930540631,73279.54877581766
RPL13A,41360.89371350561,21510.26217717998
RPS18,24285.75770235539,28772.682469486866
EEF1A1,24519.08945956267,40107.39046002503
PPIA,23135.612528837646,24053.71012439278
HSP90AB1,24159.87689064029,19364.70408427643
LDHA,52662.14575105206,49244.92589302485
PKM,46653.63187633378,47376.978926538
ENO1,17626.99436198083,18583.870775788288
TUBA1A,21730.22607550705,25086.620686078633
TUBB,28916.902426244775,28489.480434289213
VIM,26713.535386567193,22589.612009116954
HSPA8,16332.260154747533,21211.76124803917
ATP5F1B,33075.15794404021,46611.88485691689
CCT2,37193.50583127546,48447.66187335659
EIF4A1,30712.64666232305,31964.747427920436
HNRNPA1,23671.89521878974,23495.83201713916
NPM1,18301.80299471451,20355.619445124834
NCL,24522.92584880632,25963.23518048067
RAN,26082.12455015742,34140.43114073585
YWHAZ,29244.186080327112,26371.416591695724
CALM1,20809.34937103609,19336.199534104893
UBC,35934.79083814274,32823.44374526823
RACK1,52855.355881277,53736.03788405444
DDX5,55226.827728918506,57341.90859969509
PTBP1,24275.710277614737,24641.359077637386
SFPQ,26879.507056128703,31982.46438777113
HNRNPK,20057.562223974528,20153.00701541134
FUS,22184.11328889732,17634.8433714402
